CONCEPT_ID	CONCEPT_CODE	CONCEPT_CLASS
2616246	C8901	Procedure
2616255	C8910	Procedure
2616258	C8913	Procedure
2616261	C8919	Procedure
2721347	S8037	Procedure
2721349	S8042	Procedure
2616251	C8906	Procedure
2616248	C8903	Procedure
2616253	C8908	Procedure
2616250	C8905	Procedure
2616252	C8907	Procedure
2616249	C8904	Procedure
2721346	S8035	Procedure
2721258	S4042	Procedure
43533276	G9152	Procedure
43533265	G9153	Procedure
43533254	G9151	Procedure
2721012	S0199	Procedure
2720893	QY	Procedure
2720880	QK	Procedure
40659816	S0280	Procedure
40661402	S0281	Procedure
2615411	AD	Procedure
2721317	S5185	Procedure
2618133	H0034	Procedure
2618130	H0031	Procedure
2618180	H2030	Procedure
2618181	H2031	Procedure
2618134	H0035	Procedure
2618193	HE	Procedure
2618131	H0032	Procedure
2618145	H0046	Procedure
2720463	L8631	Procedure
2721118	S2118	Procedure
2721251	S4028	Procedure
43533321	G8946	Procedure
2721131	S2205	Procedure
2721132	S2206	Procedure
2721134	S2208	Procedure
2721135	S2209	Procedure
2721133	S2207	Procedure
2616844	E1011	Procedure
43533293	G0452	Procedure
2720628	Q0485	Procedure
2617495	G8	Procedure
2617944	G9	Procedure
2720887	QS	Procedure
43533360	G8955	Procedure
2720508	P2038	Procedure
2721141	S2225	Procedure
2721156	S2342	Procedure
2721157	S2344	Procedure
2615434	B4081	Procedure
2615435	B4082	Procedure
43533333	G0456	Procedure
43533334	G0457	Procedure
2617373	G0294	Procedure
2617372	G0293	Procedure
43533188	C9733	Procedure
2721623	T1001	Procedure
2721653	T1031	Procedure
2721652	T1030	Procedure
2721443	S9124	Procedure
2721442	S9123	Procedure
2721541	S9470	Procedure
2721745	TH	Procedure
2721424	S9025	Procedure
2617989	G9055	Procedure
2617984	G9050	Procedure
2617481	G0414	Procedure
2617479	G0412	Procedure
2617482	G0415	Procedure
2618195	HG	Procedure
2618083	GJ	Procedure
2616648	E0486	Procedure
2616647	E0485	Procedure
2615488	BO	Procedure
2721116	S2115	Procedure
2719561	L1310	Procedure
2719560	L1300	Procedure
2617956	G9012	Procedure
2614917	A4606	Procedure
2721423	S9024	Procedure
2721529	S9444	Procedure
2721013	S0201	Procedure
2721531	S9446	Procedure
2721530	S9445	Procedure
40663534	G8560	Procedure
40664909	G8727	Procedure
2617916	G8517	Procedure
2617915	G8516	Procedure
2721365	S8110	Procedure
2615307	A9180	Procedure
40664606	C9729	Procedure
43533247	C9600	Procedure
43533352	C9601	Procedure
43533353	C9602	Procedure
43533248	C9603	Procedure
43533187	C9606	Procedure
43533354	C9607	Procedure
43533242	C9608	Procedure
43533186	C9604	Procedure
43533223	C9605	Procedure
2721161	S2360	Procedure
2618081	GG	Procedure
2721177	S3005	Procedure
40664802	G8806	Procedure
2617304	G0219	Procedure
2617320	G0235	Procedure
2617337	G0252	Procedure
2721073	S0810	Procedure
2721074	S0812	Procedure
2616542	E0202	Procedure
2721416	S8990	Procedure
2721449	S9131	Procedure
2617335	G0250	Procedure
2721029	S0273	Procedure
2615419	AM	Procedure
2720584	Q0113	Procedure
2616463	C9726	Procedure
2616462	C9725	Procedure
2616465	C9728	Procedure
2617354	G0269	Procedure
2721184	S3628	Procedure
2616498	E0153	Procedure
2616499	E0154	Procedure
2720567	PI	Procedure
2720569	PS	Procedure
2617251	G0163	Procedure
2720586	Q0115	Procedure
2617383	G0305	Procedure
2721667	T2010	Procedure
2721668	T2011	Procedure
2618192	HD	Procedure
2618152	H1002	Procedure
2618150	H1000	Procedure
2618155	H1005	Procedure
2618151	H1001	Procedure
2618153	H1003	Procedure
2618154	H1004	Procedure
2617382	G0304	Procedure
2617381	G0303	Procedure
2617380	G0302	Procedure
43533190	G0455	Procedure
2720016	L5600	Procedure
2720015	L5595	Procedure
2721909	V2788	Procedure
2721622	T1000	Procedure
2615955	C2618	Procedure
2615951	C2614	Procedure
2616470	CC	Procedure
2721906	V2785	Procedure
2721746	TJ	Procedure
2720492	M0076	Procedure
2720353	L7274	Procedure
2617205	G0102	Procedure
2617334	G0249	Procedure
2618163	H2013	Procedure
2618177	H2027	Procedure
2618167	H2017	Procedure
2618168	H2018	Procedure
40661971	G0424	Procedure
2721543	S9473	Procedure
2617367	G0288	Procedure
2721875	V2626	Procedure
2618159	H2001	Procedure
40664815	G8700	Procedure
40664883	G8699	Procedure
2617983	G9044	Procedure
2617982	G9043	Procedure
2617981	G9042	Procedure
2617980	G9041	Procedure
2617353	G0268	Procedure
2721071	S0630	Procedure
2615781	C1771	Procedure
2719957	L4205	Procedure
2721172	S2405	Procedure
2720396	L8049	Procedure
2721169	S2402	Procedure
2721167	S2400	Procedure
2721173	S2409	Procedure
2721170	S2403	Procedure
2721171	S2404	Procedure
2721168	S2401	Procedure
2721916	V5014	Procedure
2720898	RA	Procedure
2720899	RB	Procedure
2719401	KM	Procedure
2720092	L5701	Procedure
2720091	L5700	Procedure
2720093	L5702	Procedure
2719967	L4392	Procedure
2614947	A4637	Procedure
2721070	S0625	Procedure
2720905	RT	Procedure
2721741	TD	Procedure
2721624	T1002	Procedure
2721043	S0390	Procedure
2617332	G0247	Procedure
2721068	S0621	Procedure
2721067	S0620	Procedure
2721563	S9529	Procedure
2721753	TR	Procedure
2721640	T1018	Procedure
2721355	S8080	Procedure
2721345	S8030	Procedure
2617240	G0147	Procedure
2617241	G0148	Procedure
2617236	G0141	Procedure
2617226	G0124	Procedure
2617225	G0123	Procedure
2617239	G0145	Procedure
2617238	G0144	Procedure
2617237	G0143	Procedure
2617289	G0202	Procedure
2721061	S0601	Procedure
2721645	T1023	Procedure
2617184	G0027	Procedure
40664679	G8878	Procedure
2720711	Q4	Procedure
2618088	GO	Procedure
2618089	GP	Procedure
2618087	GN	Procedure
2721626	T1004	Procedure
2617246	G0155	Procedure
2617247	G0156	Procedure
2720328	L6965	Procedure
2720327	L6960	Procedure
2720196	L6550	Procedure
2720182	L6300	Procedure
2720183	L6310	Procedure
2720184	L6320	Procedure
2721092	S2065	Procedure
2720873	QC	Procedure
2719403	KO	Procedure
2617232	G0130	Procedure
40664474	C9802	Procedure
40664492	G0437	Procedure
40664586	G0436	Procedure
40664513	C9801	Procedure
2721431	S9075	Procedure
2617476	G0409	Procedure
2721446	S9127	Procedure
2721126	S2152	Procedure
2615487	BL	Procedure
2618199	HK	Procedure
2721979	V5362	Procedure
2721447	S9128	Procedure
2721454	S9152	Procedure
2721605	SE	Procedure
2721254	S4035	Procedure
2721537	S9454	Procedure
40662383	G8573	Procedure
2618194	HF	Procedure
2721231	S3900	Procedure
2720564	PA	Procedure
2617483	G0416	Procedure
2617484	G0417	Procedure
2617485	G0418	Procedure
2617486	G0419	Procedure
40659151	G8627	Procedure
2721639	T1017	Procedure
2616269	C8927	Procedure
