id	code	domain_name	secondary_domain
2106061	29899	Procedure	
2106057	29894	Procedure	
2106054	29891	Procedure	
2105972	29830	Procedure	
2105977	29838	Procedure	
2105976	29837	Procedure	
2105975	29836	Procedure	
2105974	29835	Procedure	
2105973	29834	Procedure	
2105999	29860	Procedure	
2106001	29862	Procedure	
40757126	29914	Procedure	
2106000	29861	Procedure	
2106012	29863	Procedure	
2106016	29870	Procedure	
42739911	0013T	Procedure	
42739910	0012T	Procedure	
2106033	29879	Procedure	
2106032	29877	Procedure	
2106040	29886	Procedure	
2106041	29887	Procedure	
2106039	29885	Procedure	
2106017	29871	Procedure	
2106019	29874	Procedure	
2106015	29868	Procedure	
2106014	29867	Procedure	
2106013	29866	Procedure	
2106020	29875	Procedure	
2106021	29876	Procedure	
2106018	29873	Procedure	
2106038	29884	Procedure	
2106034	29880	Procedure	
2106035	29881	Procedure	
2106037	29883	Procedure	
2106036	29882	Procedure	
2106072	29900	Procedure	
2106073	29901	Procedure	
2106074	29902	Procedure	
2105938	29805	Procedure	
2105941	29815	Procedure	
2105961	29828	Procedure	
2105939	29806	Procedure	
2105956	29823	Procedure	
2105955	29822	Procedure	
2105959	29826	Procedure	
2105957	29824	Procedure	
2105940	29807	Procedure	
2105954	29821	Procedure	
2105953	29820	Procedure	
2105958	29825	Procedure	
2105952	29819	Procedure	
2105960	29827	Procedure	
40757047	29915	Procedure	
2106077	29906	Procedure	
40756992	29916	Procedure	
2106075	29904	Procedure	
2106078	29907	Procedure	
2106076	29905	Procedure	
2105936	29800	Procedure	
2105937	29804	Procedure	
2105978	29840	Procedure	
2105992	29846	Procedure	
2105979	29843	Procedure	
2105993	29847	Procedure	
2105981	29845	Procedure	
2105980	29844	Procedure	
2103801	24006	Procedure	
2104398	26100	Procedure	
2105504	28054	Procedure	
2104400	26110	Procedure	
2105502	28050	Procedure	
2104399	26105	Procedure	
2105503	28052	Procedure	
2105048	27403	Procedure	
2104775	27054	Procedure	
2103618	23101	Procedure	
2103601	23044	Procedure	
2105244	27610	Procedure	
2105251	27620	Procedure	
2104094	25107	Procedure	
2103800	24000	Procedure	
2103828	24101	Procedure	
2103829	24102	Procedure	
2103827	24100	Procedure	
2103617	23100	Procedure	
2103600	23040	Procedure	
2103621	23107	Procedure	
2104755	27033	Procedure	
2104754	27030	Procedure	
2105486	28024	Procedure	
2105484	28020	Procedure	
2105485	28022	Procedure	
2104967	27310	Procedure	
2104988	27331	Procedure	
2104987	27330	Procedure	
2105245	27612	Procedure	
2104074	25040	Procedure	
2103019	21010	Procedure	
2104774	27052	Procedure	
2104773	27050	Procedure	
2104990	27333	Procedure	
2104989	27332	Procedure	
2104395	26070	Procedure	
2104397	26080	Procedure	
2104396	26075	Procedure	
2105262	27625	Procedure	
2105263	27626	Procedure	
2105002	27335	Procedure	
2104991	27334	Procedure	
2104081	25100	Procedure	
2104092	25101	Procedure	
2104093	25105	Procedure	
2103619	23105	Procedure	
2103620	23106	Procedure	
2110196	58321	Procedure	
2110197	58322	Procedure	
2106463	31400	Procedure	
2107411	33864	Procedure	
2107408	33860	Procedure	
2107410	33863	Procedure	
42735923	33861	Procedure	
2102914	20615	Procedure	
2102913	20612	Procedure	
2109596	50390	Procedure	
42737298	60001	Procedure	
2110379	60300	Procedure	
42733676	51000	Procedure	
2109707	51100	Procedure	
42737147	51005	Procedure	
2109708	51101	Procedure	
42733688	51010	Procedure	
2109709	51102	Procedure	
2110616	62287	Procedure	
2111022	67015	Procedure	
2108611	4084F	Procedure	
2414387	99192	Procedure	
2414386	99191	Procedure	
2414385	99190	Procedure	
2314188	96105	Procedure	
2313782	92625	Procedure	
2213350	89253	Procedure	
42739500	89252	Procedure	
2213363	89281	Procedure	
2213362	89280	Procedure	
2314310	97755	Procedure	
42742450	5250F	Procedure	Observation
2101876	1005F	Procedure	
2314266	97005	Procedure	
2314267	97006	Procedure	
2313809	92993	Procedure	
2107337	33735	Procedure	
2107338	33736	Procedure	
2107339	33737	Procedure	
2313808	92992	Procedure	
42739562	99436	Procedure	
2514559	99464	Procedure	
2313728	92559	Procedure	
2313748	92585	Procedure	
2313749	92586	Procedure	
2313786	92633	Procedure	
2313785	92630	Procedure	
2103100	21125	Procedure	
2103101	21127	Procedure	
42738754	92510	Procedure	
42740837	2003F	Procedure	
2102978	20936	Procedure	
2102979	20937	Procedure	
2102980	20938	Procedure	
2105062	27412	Procedure	
2102079	11732	Procedure	
2722193	11731	Procedure	
2102078	11730	Procedure	
2108484	38745	Procedure	
2108483	38740	Procedure	
2110945	65757	Procedure	
2109424	48552	Procedure	
2109133	44721	Procedure	
2109132	44720	Procedure	
2109330	47147	Procedure	
2109329	47146	Procedure	
2109583	50328	Procedure	
2109584	50329	Procedure	
2109582	50327	Procedure	
2107480	33944	Procedure	
2107477	33933	Procedure	
2106886	32856	Procedure	
2106885	32855	Procedure	
2109423	48551	Procedure	
2109580	50323	Procedure	
2109326	47143	Procedure	
2109327	47144	Procedure	
2109328	47145	Procedure	
2109131	44715	Procedure	
2109581	50325	Procedure	
2110519	61630	Procedure	
2110523	61642	Procedure	
2110522	61641	Procedure	
2110521	61640	Procedure	
2107303	33690	Procedure	
2106683	3200F	Procedure	
2106467	3142F	Procedure	
2514552	99450	Procedure	
2211839	77300	Procedure	
40756969	92540	Procedure	
2313730	92561	Procedure	
2313729	92560	Procedure	
2108646	4115F	Procedure	
2110493	61586	Procedure	
42739579	50	Procedure	
2110268	58953	Procedure	
2110269	58954	Procedure	
2110270	58956	Procedure	
2109373	47630	Procedure	
2109355	47550	Procedure	
2109356	47552	Procedure	
2109357	47553	Procedure	
2109360	47556	Procedure	
2109359	47555	Procedure	
2109358	47554	Procedure	
2313699	92504	Procedure	
2213562	90901	Procedure	
2213563	90911	Procedure	
40756839	0239T	Procedure	
2313944	93701	Procedure	
2110028	55706	Procedure	
2111190	69105	Procedure	
2111189	69100	Procedure	
2109149	45100	Procedure	
2102673	19101	Procedure	
2102675	19103	Procedure	
2102672	19100	Procedure	
2102674	19102	Procedure	
2111141	68100	Procedure	
2110932	65410	Procedure	
2109990	54800	Procedure	
2111072	67346	Procedure	
42734168	67350	Procedure	
2111100	67810	Procedure	
2108630	41108	Procedure	
2109025	44100	Procedure	
2111163	68510	Procedure	
2111165	68525	Procedure	
