atc_code,rxnorm_concept_id,combination
J07AG01,,
J07AG52,,Y
J07AH01,,
J07AH02,,
J07AH03,,
J07AH05,,
J07AH06,19016540,
J07AH07,,
J07AH08,,Y
J07AH09,,
J07AH10,,
J07AJ01,19051984,
J07AJ02,,
J07AJ51,,Y
J07AJ52,,Y
J07AK01,,
J07AL01,,
J07AL02,,
J07AL52,,Y
J07AM51,,Y
J07AM52,,Y
J07AN01,,
J07AP02,,
J07AP10,,Y
J07AR01,,
J07BA01,19056508,
J07BA03,,
J07BB01,,
J07BD51,,Y
J07BD53,,Y
J07BD54,,Y
J07BE01,523620,
J07BF01,,
J07BF02,,
J07BF03,551977,
J07BF04,,
J07BH02,,
J07BJ51,,Y
J07BK02,42800027,
J07BM01,,Y
J07BM02,,
J07CA01,,
J07CA02,,
J07CA03,,
J07CA04,,Y
J07CA05,,
J07CA06,,Y
J07CA07,,
J07CA08,,Y
J07CA09,,
J07CA10,,
J07CA11,,
J07CA12,,Y
J07CA13,,
L01AB03,,
L01AC02,,
L01AC03,,
L01AD03,,
L01AD05,,
L01AD06,,
L01AD07,,
L01AG01,,
L01BC04,,
L01BC52,,Y
L01BC53,,Y
L01CA05,,
L01CA06,,
L01CC01,,
L01CD03,1378382,
L01CX01,,
L01DB05,,
L01DB10,,
L01DB11,,
L01XA04,,
L01XA05,,
L01XC09,,
L01XD06,,
L01XE19,,
L01XE22,,
L01XX07,,
L01XX09,,
L01XX16,,
L01XX18,,
L01XX36,,
L01XX37,,
L01XX42,,
L02AA02,19094980,
L02AA03,,
L02AB03,19059487,
L02BG05,,
L03AB02,,
L03AB12,,
L03AB60,,Y
L03AB61,,Y
L03AX01,,
L03AX02,,
L03AX07,,
L03AX08,,Y
L03AX10,,
L03AX12,,
L03AX14,19011902,
L03AX15,,
L03AX18,,
L04AA19,,
L04AA32,,
L04AB03,,
L04AC06,,
L04AC09,,
L04AC10,,
L04AD03,,
L04AX05,,
M01AA02,,
M01AB06,,
M01AB10,,
M01AB12,,
M01AB13,,
M01AB51,,Y
M01AB55,,Y
M01AC56,,Y
M01AE06,,
M01AE08,,
M01AE10,,
M01AE11,,
M01AE13,,
M01AE14,,
M01AE15,,
M01AE18,,
M01AE52,,Y
M01AE53,,Y
M01AE56,,Y
M01AH06,,
M01AX04,,
M01AX12,,
M01AX13,,
M01AX18,19135796,
M01AX21,,
M01AX23,,
M01AX26,,Y
M01AX68,,Y
M01BA01,,Y
M01BA02,,Y
M01BA03,,Y
M01CA03,,
M01CB02,,
M01CB05,,
M01CC02,,
M02AA02,,
M02AA11,,
M02AA14,,
M02AA16,,
M02AA22,,
M02AA23,,
M02AA24,,
M02AB02,,
M02AX10,,Y
M03AC08,,
M03BA01,,
M03BA51,,Y
M03BA52,,Y
M03BA53,,Y
M03BA71,,Y
M03BA72,,Y
M03BA73,,Y
M03BB52,,Y
M03BB53,,Y
M03BB72,,Y
M03BB73,,Y
M03BC51,,Y
M03BX09,,
M03BX30,,
M04AA02,19100737,
M04AA51,,Y
M04AB04,,
M04AC02,,
M04AX01,,
M05BA04,,
M05BB01,,Y
M05BB02,,Y
M05BB03,,Y
M05BB04,,Y
M05BB05,,Y
M05BB06,,Y
M05BC01,,
M05BC02,,
M05BX02,,
M05BX03,,
M05BX53,,Y
M09AA01,,
M09AA72,,Y
M09AB52,,Y
M09AX02,,
N01AA01,,
N01AA02,,
N01AB05,,
N01AG01,,
N01AH51,,Y
N01AX05,,
N01AX14,,
N01AX63,,Y
N01BA01,,
N01BA52,,Y
N01BB05,,
N01BB20,,Y
N01BB51,,Y
N01BB52,,Y
N01BB53,,Y
N01BB54,,Y
N01BB57,,Y
N02AA04,,
N02AA51,,Y
N02AA55,,Y
N02AA58,,Y
N02AA59,,Y
N02AA79,,Y
N02AB01,,
N02AB52,,Y
N02AB72,,Y
N02AC03,,
N02AC05,,
N02AC52,,Y
N02AC54,,Y
N02AC74,,Y
N02AG01,,Y
N02AG02,,Y
N02AG03,,Y
N02AG04,,Y
N02AX52,,Y
N02BA09,,
N02BA12,,
N02BA14,,
N02BA15,,
N02BA16,,
N02BA55,,Y
N02BA57,,Y
N02BA59,,Y
N02BA65,,Y
N02BA71,,Y
N02BA75,,Y
N02BA77,,Y
N02BA79,,Y
N02BB01,,
N02BB02,,
N02BB03,,
N02BB05,,
N02BB51,,Y
N02BB52,,Y
N02BB53,,Y
N02BB54,,Y
N02BB71,,Y
N02BB72,,Y
N02BB73,,Y
